
START,tim,3,1016,1,1,-1,3,2,EASY,970.59,
705,740,665,700,12823,23088,1002,
460,495,665,700,32645,22203,1004,
495,530,665,700,32645,22203,1004,
530,565,665,700,27067,19616,1006,
565,600,665,700,27067,19616,1006,
635,670,665,700,144,7039,1005,
495,530,630,665,15694,28247,1007,
530,565,630,665,15694,28247,1007,
425,460,630,665,2345,22291,1008,
460,495,630,665,2345,22291,1008,
425,460,665,700,2345,22291,1008,
425,460,560,595,2513,9866,1010,
460,495,560,595,2513,9866,1010,
425,460,595,630,2513,9866,1010,
460,495,595,630,2513,9866,1010,
670,705,665,700,10922,29640,1009,
670,705,595,630,4002,29530,1011,
705,740,595,630,4002,29530,1011,
705,740,630,665,4002,29530,1011,
740,775,630,665,4002,29530,1011,
600,635,630,665,23499,28480,1012,
635,670,630,665,23499,28480,1012,
600,635,665,700,23499,28480,1012,
565,600,560,595,13250,26547,1014,
565,600,595,630,13250,26547,1014,
565,600,630,665,13250,26547,1014,
635,670,525,560,32135,9626,1013,
635,670,560,595,32135,9626,1013,
670,705,560,595,32135,9626,1013,
635,670,595,630,32135,9626,1013,
565,600,105,140,23413,22310,1016,
600,635,105,140,23413,22310,1016,
565,600,140,175,23413,22310,1016,
600,635,140,175,23413,22310,1016,
705,740,525,560,30846,14999,1015,
705,740,560,595,30846,14999,1015,
740,775,560,595,30846,14999,1015,
740,775,595,630,30846,14999,1015,
END,
START,timur,0,1000,1,0,-1,2,1,NORMAL,500,
565,600,175,210,8203,21791,1000,
565,600,210,245,8203,21791,1000,
565,600,245,280,8203,21791,1000,
565,600,280,315,8203,21791,1000,
END,
START,timur,0,1007,2,1,-1,1,3,NORMAL,500,
565,600,560,595,8203,21791,1000,
565,600,595,630,8203,21791,1000,
565,600,630,665,8203,21791,1000,
565,600,665,700,8203,21791,1000,
495,530,630,665,27776,14422,1001,
530,565,630,665,27776,14422,1001,
495,530,665,700,27776,14422,1001,
530,565,665,700,27776,14422,1001,
600,635,630,665,10651,25429,1002,
635,670,630,665,10651,25429,1002,
600,635,665,700,10651,25429,1002,
635,670,665,700,10651,25429,1002,
670,705,665,700,8406,25101,1003,
705,740,630,665,8406,25101,1003,
705,740,665,700,8406,25101,1003,
740,775,665,700,8406,25101,1003,
530,565,525,560,12684,3644,1004,
565,600,525,560,12684,3644,1004,
530,565,560,595,12684,3644,1004,
530,565,595,630,12684,3644,1004,
600,635,525,560,31746,28647,1005,
600,635,560,595,31746,28647,1005,
600,635,595,630,31746,28647,1005,
635,670,595,630,31746,28647,1005,
425,460,245,280,23932,11769,1007,
460,495,245,280,23932,11769,1007,
425,460,280,315,23932,11769,1007,
460,495,280,315,23932,11769,1007,
705,740,595,630,32247,14235,1006,
740,775,560,595,32247,14235,1006,
740,775,595,630,32247,14235,1006,
740,775,630,665,32247,14235,1006,
END,
START,timur,0,1003,3,6,-1,3,6,HARD,250,
670,705,630,665,27556,18193,1001,
705,740,630,665,27556,18193,1001,
705,740,665,700,27556,18193,1001,
740,775,665,700,27556,18193,1001,
425,460,665,700,31935,11702,1000,
460,495,665,700,31935,11702,1000,
495,530,665,700,31935,11702,1000,
530,565,665,700,31935,11702,1000,
530,565,350,385,17167,4960,1003,
565,600,350,385,17167,4960,1003,
565,600,385,420,17167,4960,1003,
600,635,385,420,17167,4960,1003,
565,600,665,700,309,14499,1002,
600,635,665,700,309,14499,1002,
635,670,665,700,309,14499,1002,
635,670,630,665,309,14499,1002,
END,
START,tinker,0,1004,3,6,-1,3,2,HARD,250,
565,600,70,105,29088,16033,1004,
600,635,70,105,29088,16033,1004,
635,670,70,105,29088,16033,1004,
600,635,105,140,29088,16033,1004,
670,705,630,665,27556,18193,1001,
705,740,630,665,27556,18193,1001,
705,740,665,700,27556,18193,1001,
740,775,665,700,27556,18193,1001,
425,460,665,700,31935,11702,1000,
460,495,665,700,31935,11702,1000,
495,530,665,700,31935,11702,1000,
530,565,665,700,31935,11702,1000,
530,565,595,630,17167,4960,1003,
565,600,595,630,17167,4960,1003,
565,600,630,665,17167,4960,1003,
600,635,630,665,17167,4960,1003,
565,600,665,700,309,14499,1002,
600,635,665,700,309,14499,1002,
635,670,665,700,309,14499,1002,
635,670,630,665,309,14499,1002,
END,
